strain_id,sub_lineage,lineage
ERR1034720,L4.11.2,L4.11
ERR1034730,L4.11.2,L4.11
ERR1034737,L4.11.2,L4.11
ERR1034740,L4.11.2,L4.11
ERR1034755,L4.11.2,L4.11
ERR1034756,L4.11.2,L4.11
ERR1034792,L4.11.2,L4.11
ERR11049742,L4.11.2,L4.11
ERR11049750,L4.11.2,L4.11
ERR11067554,L4.11.2,L4.11
ERR11082091,L4.11.2,L4.11
ERR12117926,L4.11.2,L4.11
ERR12117938,L4.11.2,L4.11
ERR12117965,L4.11.2,L4.11
ERR12118009,L4.11.2,L4.11
ERR13260151,L4.11.2,L4.11
ERR13260156,L4.11.2,L4.11
ERR13260171,L4.11.2,L4.11
ERR13260214,L4.11.2,L4.11
ERR13260233,L4.11.2,L4.11
ERR13260240,L4.11.2,L4.11
ERR13260256,L4.11.2,L4.11
ERR13260293,L4.11.2,L4.11
ERR13260301,L4.11.2,L4.11
ERR13260334,L4.11.2,L4.11
ERR13260341,L4.11.2,L4.11
ERR13260344,L4.11.2,L4.11
ERR13260439,L4.11.2,L4.11
ERR13260512,L4.11.2,L4.11
ERR13260522,L4.11.2,L4.11
ERR13260541,L4.11.2,L4.11
ERR13260545,L4.11.2,L4.11
ERR13260567,L4.11.2,L4.11
ERR13260573,L4.11.2,L4.11
ERR13260581,L4.11.2,L4.11
ERR13260593,L4.11.2,L4.11
ERR13260594,L4.11.2,L4.11
ERR13260596,L4.11.2,L4.11
ERR13260607,L4.11.2,L4.11
ERR13260621,L4.11.2,L4.11
ERR13260671,L4.11.2,L4.11
ERR13260681,L4.11.2,L4.11
ERR13260692,L4.11.2,L4.11
ERR13261582,L4.11.2,L4.11
ERR13261617,L4.11.2,L4.11
ERR13261624,L4.11.2,L4.11
ERR13261654,L4.11.2,L4.11
ERR13261697,L4.11.2,L4.11
ERR13261879,L4.11.2,L4.11
ERR13261893,L4.11.2,L4.11
ERR13261927,L4.11.2,L4.11
ERR13261934,L4.11.2,L4.11
ERR13261935,L4.11.2,L4.11
ERR13261938,L4.11.2,L4.11
ERR13267437,L4.11.2,L4.11
ERR13284322,L4.11.2,L4.11
ERR13289532,L4.11.1,L4.11
ERR13291289,L4.11.2,L4.11
ERR13291540,L4.11.2,L4.11
ERR13291729,L4.11.2,L4.11
ERR13291764,L4.11.2,L4.11
